Слово,Частота встреч в раз,Частота встреч в %
вытягивалась,1,0.0
опускалась,4,0.0
нижнюю,10,0.0
бывает,105,0.02
вполне,70,0.01
привлекательных,1,0.0
женщин,47,0.01
недостаток,12,0.0
короткость,1,0.0
губы,41,0.01
полуоткрытый,1,0.0
рот,35,0.01
казались,38,0.01
особенною,17,0.0
собственно,9,0.0
красотой,17,0.0
всем,289,0.05
весело,142,0.03
смотреть,67,0.01
эту,288,0.05
полную,14,0.0
здоровья,4,0.0
живости,1,0.0
хорошенькую,6,0.0
будущую,8,0.0
мать,104,0.02
легко,76,0.01
переносившую,1,0.0
положение,145,0.03
старикам,3,0.0
мрачным,10,0.0
молодым,31,0.01
казалось,336,0.06
сами,88,0.02
делаются,8,0.0
похожи,6,0.0
побыв,1,0.0
поговорив,10,0.0
времени,239,0.04
видел,284,0.05
каждом,38,0.01
светлую,4,0.0
улыбочку,1,0.0
блестящие,20,0.0
белые,25,0.0
зубы,31,0.01
виднелись,36,0.01
беспрестанно,79,0.01
тот,310,0.06
думал,337,0.06
любезен,7,0.0
переваливаясь,7,0.0
маленькими,14,0.0
быстрыми,41,0.01
шажками,2,0.0
обошла,2,0.0
стол,57,0.01
рабочею,1,0.0
сумочкой,1,0.0
руке,61,0.01
оправляя,5,0.0
села,48,0.01
диван,31,0.01
серебряного,1,0.0
самовара,3,0.0
делала,33,0.01
partie,3,0.0
plaisir2,1,0.0
окружавших,8,0.0
apporté,1,0.0
ouvrage,4,0.0
развертывая,6,0.0
свой,186,0.03
ридикюль,7,0.0
обращаясь,117,0.02
ко,118,0.02
смотрите,21,0.0
jouez,1,0.0
mauvais,7,0.0
tour,4,0.0
тетушку,2,0.0
увеселением,1,0.0
захватила,4,0.0
работу,31,0.01
обратилась,48,0.01
хозяйке,1,0.0
était,19,0.0
toute,8,0.0
voyez,15,0.0
attifée,1,0.0
развела,1,0.0
руками,146,0.03
показать,35,0.01
кружевах,2,0.0
серенькое,2,0.0
изящное,1,0.0
немного,54,0.01
ниже,16,0.0
грудей,1,0.0
опоясанное,1,0.0
широкою,3,0.0
лентой,4,0.0
soyez,6,0.0
tranquille,4,0.0
serez,2,0.0
toujours,18,0.0
jolie,2,0.0
отвечала,79,0.01
mari,3,0.0
abandonne,2,0.0
генералу,53,0.01
va,14,0.0
se,55,0.01
tuer,1,0.0
pourquoi,9,0.0
vilaine,3,0.0
василию,8,0.0
дожидаясь,22,0.0
дочери,73,0.01
красивой,13,0.0
délicieuse,6,0.0
princesse,16,0.0
тихо,93,0.02
вскоре,27,0.0
княгини,29,0.01
вошел,147,0.03
массивный,2,0.0
толстый,32,0.01
молодой,126,0.02
стриженою,1,0.0
головой,168,0.03
очках,9,0.0
светлых,2,0.0
панталонах,7,0.0
тогдашней,3,0.0
моде,6,0.0
высоким,11,0.0
жабо,3,0.0
коричневом,1,0.0
фраке,10,0.0
незаконный,8,0.0
знаменитого,7,0.0
екатерининского,3,0.0
вельможи,12,0.0
графа,196,0.03
безухова,46,0.01
умиравшего,1,0.0
москве,228,0.04
нигде,17,0.0
служил,24,0.0
границы,16,0.0
где,497,0.09
воспитывался,4,0.0
обществе,38,0.01
приветствовала,1,0.0
поклоном,5,0.0
относящимся,1,0.0
самой,79,0.01
низшей,1,0.0
иерархии,2,0.0
салоне,5,0.0
низшее,1,0.0
своему,172,0.03
сорту,1,0.0
приветствие,2,0.0
вошедшего,4,0.0
пьера,494,0.09
изобразилось,1,0.0
беспокойство,18,0.0
страх,69,0.01
подобный,3,0.0
тому,332,0.06
выражается,11,0.0
чего,288,0.05
нибудь,360,0.06
огромного,22,0.0
несвойственного,1,0.0
месту,28,0.0
действительно,98,0.02
пьер,1505,0.27
других,184,0.03
мужчин,22,0.0
комнате,143,0.03
мог,473,0.08
относиться,4,0.0
умному,2,0.0
робкому,1,0.0
наблюдательному,1,0.0
естественному,1,0.0
взгляду,6,0.0
отличавшему,1,0.0
гостиной,94,0.02
aimable,3,0.0
pierre,29,0.01
venu,4,0.0
испуганно,66,0.01
сыграйте,2,0.0
злой,12,0.0
шутки,16,0.0
писали,10,0.0
совсем,204,0.04
маленький,50,0.01
видите,52,0.01
укутана,2,0.0
будьте,11,0.0
покойны,4,0.0
лиза,14,0.0
таки,122,0.02
будете,30,0.01
муж,41,0.01
покидает,2,0.0
идет,74,0.01
смерть,67,0.01
эта,247,0.04
гадкая,2,0.0
особа,4,0.0
мило,12,0.0
вашей,24,0.0
стороны,158,0.03
мосье,11,0.0
приехали,36,0.01
навестить,2,0.0
бедную,7,0.0
больную,5,0.0
11,141,0.03
переглядываясь,3,0.0
которой,359,0.06
пробурлил,3,0.0
непонятное,10,0.0
продолжал,177,0.03
отыскивать,22,0.0
глазами,242,0.04
радостно,105,0.02
улыбнулся,106,0.02
кланяясь,11,0.0
княгине,17,0.0
близкой,2,0.0
знакомой,7,0.0
тетушке,4,0.0
напрасен,1,0.0
дослушав,8,0.0
речи,62,0.01
отошел,33,0.01
остановила,7,0.0
словами,69,0.01
аббата,9,0.0
интересный,4,0.0
да,1016,0.18
слышал,97,0.02
план,62,0.01
вечного,4,0.0
интересно,20,0.0
едва,67,0.01
возможно,36,0.01
думаете,45,0.01
вновь,42,0.01
обратиться,12,0.0
занятиям,3,0.0
хозяйки,10,0.0
дома,199,0.04
обратную,1,0.0
неучтивость,1,0.0
слов,604,0.11
собеседницы,2,0.0
ушел,32,0.01
остановил,33,0.01
разговором,15,0.0
уйти,29,0.01
нагнув,3,0.0
голову,310,0.06
расставив,8,0.0
большие,47,0.01
ноги,118,0.02
стал,313,0.06
доказывать,12,0.0
полагал,16,0.0
химера,1,0.0
поговорим,14,0.0
отделавшись,1,0.0
молодого,71,0.01
умеющего,2,0.0
жить,72,0.01
возвратилась,6,0.0
прислушиваться,8,0.0
приглядываться,1,0.0
готовая,4,0.0
подать,26,0.0
помощь,25,0.0
пункт,13,0.0
ослабевал,2,0.0
разговор,188,0.03
хозяин,22,0.0
прядильной,2,0.0
мастерской,1,0.0
посадив,4,0.0
работников,1,0.0
местам,11,0.0
прохаживается,1,0.0
заведению,2,0.0
замечая,28,0.0
неподвижность,3,0.0
непривычный,2,0.0
скрипящий,1,0.0
громкий,7,0.0
звук,55,0.01
веретена,4,0.0
торопливо,42,0.01
сдерживает,2,0.0
пускает,3,0.0
надлежащий,1,0.0
прохаживаясь,3,0.0
подходила,6,0.0
замолкнувшему,1,0.0
говорившему,2,0.0
кружку,11,0.0
словом,30,0.01
перемещением,1,0.0
заводила,2,0.0
равномерную,1,0.0
приличную,1,0.0
разговорную,2,0.0
машину,2,0.0
среди,29,0.01
этих,341,0.06
забот,4,0.0
виден,12,0.0
особенный,10,0.0
заботливо,1,0.0
поглядывала,2,0.0
послушать,7,0.0
говорилось,15,0.0
мортемара,5,0.0
другому,45,0.01
воспитанного,1,0.0
границей,15,0.0
россии,122,0.02
знал,321,0.06
тут,248,0.04
собрана,1,0.0
интеллигенция,1,0.0
ребенка,42,0.01
игрушечной,1,0.0
лавке,16,0.0
разбегались,4,0.0
боялся,55,0.01
пропустить,11,0.0
умные,9,0.0
услыхать,2,0.0
уверенные,2,0.0
изящные,1,0.0
выражения,41,0.01
лиц,97,0.02
собранных,4,0.0
здесь,192,0.03
ждал,33,0.01
умного,4,0.0
показался,33,0.01
интересен,5,0.0
остановился,154,0.03
ожидая,92,0.02
случая,17,0.0
высказать,21,0.0
мысли,142,0.03
любят,19,0.0
молодые,37,0.01
пущен,2,0.0
разных,72,0.01
сторон,140,0.02
равномерно,16,0.0
умолкая,3,0.0
шумели,1,0.0
кроме,233,0.04
сидела,89,0.02
пожилая,7,0.0
дама,23,0.0
исплаканным,3,0.0
худым,6,0.0
лицом,155,0.03
чужая,6,0.0
блестящем,4,0.0
общество,55,0.01
разбилось,1,0.0
три,173,0.03
кружка,11,0.0
мужском,6,0.0
центром,7,0.0
другом,73,0.01
молодом,5,0.0
румяная,7,0.0
полная,16,0.0
молодости,22,0.0
третьем,11,0.0
миловидный,1,0.0
мягкими,4,0.0
чертами,7,0.0
приемами,6,0.0
очевидно,229,0.04
считавший,3,0.0
знаменитостью,1,0.0
благовоспитанности,1,0.0
скромно,2,0.0
предоставлявший,1,0.0
находился,85,0.02
угощала,1,0.0
им,459,0.08
гостей,66,0.01
хороший,22,0.0
метр,1,0.0
д,69,0.01
отель,1,0.0
подает,5,0.0
нечто,2,0.0
сверхъестественно,5,0.0
прекрасное,19,0.0
кусок,8,0.0
говядины,2,0.0
захочется,2,0.0
увидать,29,0.01
грязной,10,0.0
кухне,6,0.0
сервировала,1,0.0
сначала,71,0.01
виконта,20,0.0
утонченное,3,0.0
кружке,13,0.0
заговорили,17,0.0
тотчас,186,0.03
об,298,0.05
убиении,2,0.0
герцога,25,0.0
энгиенского,7,0.0
герцог,50,0.01
энгиенский,6,0.0
погиб,3,0.0
великодушия,6,0.0
особенные,6,0.0
причины,83,0.01
озлобления,5,0.0
бонапарта,26,0.0
ah,52,0.01
voyons,9,0.0
contez,2,0.0
cela,21,0.0
радостью,20,0.0
чувствуя,63,0.01
louis,5,0.0
xv2,1,0.0
отзывалась,1,0.0
фраза,13,0.0
поклонился,20,0.0
покорности,5,0.0
учтиво,19,0.0
сделала,43,0.01
круг,18,0.0
пригласила,7,0.0
слушать,34,0.01
рассказ,34,0.01
personnellement,2,0.0
connu,2,0.0
monseigneur,10,0.0
расскажите,9,0.0
напоминающим,1,0.0
лудовика,1,0.0
лично,35,0.01
знаком,12,0.0
герцогом,5,0.0
13,133,0.02
шепнула,2,0.0
одному,69,0.01
parfait,2,0.0
conteur,1,0.0
проговорила,54,0.01
сomme,1,0.0
voit,8,0.0
homme,58,0.01
bonne,23,0.0
compagnie,7,0.0
третьему,2,0.0
подан,2,0.0
самом,83,0.01
изящном,1,0.0
выгодном,3,0.0
ростбиф,1,0.0
горячем,2,0.0
блюде,5,0.0
посыпанный,1,0.0
зеленью,4,0.0
начать,20,0.0
тонко,8,0.0
переходите,1,0.0
сюда,95,0.02
hélène,9,0.0
красавице,3,0.0
княжне,106,0.02
поодаль,1,0.0
составляя,3,0.0
центр,15,0.0
другого,100,0.02
улыбалась,12,0.0
поднялась,27,0.0
тою,65,0.01
неизменяющеюся,1,0.0
женщины,87,0.02
которою,55,0.01
вошла,56,0.01
гостиную,74,0.01
слегка,65,0.01
шумя,6,0.0
белою,14,0.0
бальною,1,0.0
робой,1,0.0
убранною,1,0.0
плющем,1,0.0
мохом,1,0.0
блестя,10,0.0
белизной,3,0.0
плеч,9,0.0
глянцем,1,0.0
волос,29,0.01
бриллиантов,1,0.0
прошла,23,0.0
расступившимися,1,0.0
мужчинами,7,0.0
прямо,147,0.03
любезно,4,0.0
предоставляя,11,0.0
любоваться,6,0.0
красотою,6,0.0
стана,1,0.0
полных,3,0.0
открытой,2,0.0
груди,47,0.01
спины,8,0.0
внося,3,0.0
блеск,14,0.0
бала,15,0.0
подошла,66,0.01
хороша,50,0.01
заметно,26,0.0
тени,30,0.01
кокетства,2,0.0
совестно,33,0.01
несомненную,3,0.0
сильно,30,0.01
победительно,1,0.0
действующую,5,0.0
красоту,8,0.0
желала,38,0.01
умалить,2,0.0
действие,59,0.01
красоты,8,0.0
пораженный,3,0.0
необычайным,1,0.0
пожал,31,0.01
плечами,63,0.01
опустил,31,0.01
усаживалась,3,0.0
пред,64,0.01
освещала,1,0.0
неизменною,2,0.0
madame,19,0.0
crains,4,0.0
mes,28,0.0
moyens,5,0.0
devant,4,0.0
pareil,1,0.0
auditoire,1,0.0
наклоняя,6,0.0
облокотила,1,0.0
открытую,3,0.0
столик,8,0.0
нашла,14,0.0
либо,31,0.01
рассказа,25,0.0
посматривая,2,0.0
изредка,74,0.01
красивую,12,0.0
лежавшую,11,0.0
столе,31,0.01
грудь,45,0.01
поправляла,3,0.0
удивительный,5,0.0
мастер,12,0.0
рассказывать,46,0.01
хорошего,20,0.0
опасаюсь,1,0.0
уменье,5,0.0
перед,425,0.08
публикой,2,0.0
14,117,0.02
бриллиантовое,1,0.0
ожерелье,2,0.0
складки,11,0.0
платья,31,0.01
производил,3,0.0
впечатление,41,0.01
оглядывалась,12,0.0
анну,21,0.0
павловну,6,0.0
принимала,8,0.0
фрейлины,2,0.0
успокоивалась,2,0.0
сияющей,1,0.0
улыбке,11,0.0
вслед,58,0.01
перешла,12,0.0
чайного,5,0.0
стола,64,0.01
vais,2,0.0
prendre,5,0.0
quoi,4,0.0
pensez,4,0.0
ипполиту,6,0.0
apportez,2,0.0
ridicule,14,0.0
произвела,8,0.0
перестановку,1,0.0
усевшись,6,0.0
оправилась,2,0.0
хорошо,344,0.06
приговаривала,6,0.0
попросив,5,0.0
начинать,19,0.0
принялась,6,0.0
перенес,5,0.0
перешел,18,0.0
нею,101,0.02
близко,75,0.01
придвинув,3,0.0
кресло,31,0.01
сел,102,0.02
подле,142,0.03
charmant,21,0.0
hippolyte3,1,0.0
поражал,5,0.0
необыкновенным,3,0.0
сходством,2,0.0
красавицею,2,0.0
сходство,2,0.0
поразительно,5,0.0
дурен,3,0.0
черты,16,0.0
те,250,0.04
сестры,23,0.0
той,175,0.03
освещалось,1,0.0
жизнерадостною,1,0.0
самодовольною,3,0.0
молодою,5,0.0
необычайною,2,0.0
античною,1,0.0
тела,33,0.01
брата,72,0.01
отуманено,1,0.0
идиотизмом,1,0.0
неизменно,12,0.0
выражало,15,0.0
самоуверенную,1,0.0
брюзгливость,1,0.0
тело,60,0.01
худощаво,1,0.0
слабо,16,0.0
нос,13,0.0
сжималось,1,0.0
одну,101,0.02
неопределенную,1,0.0
скучную,2,0.0
гримасу,6,0.0
руки,258,0.05
принимали,8,0.0
неестественное,4,0.0
histoire,9,0.0
revenants,2,0.0
пристроив,1,0.0
глазам,11,0.0
лорнет,8,0.0
инструмента,2,0.0
говорить,299,0.05
cher,65,0.01
пожимая,15,0.0
удивленный,4,0.0
рассказчик,3,0.0
déteste,1,0.0
histoires,1,0.0
подождите,6,0.0
возьму,8,0.0
мою,38,0.01
принесите,2,0.0
история,85,0.02
привидениях,2,0.0
вовсе,41,0.01
терпеть,14,0.0
историй,9,0.0
15,169,0.03
таким,164,0.03
видно,169,0.03
слова,455,0.08
понял,122,0.02
значили,2,0.0
самоуверенности,4,0.0
никто,197,0.04
умно,10,0.0
глупо,14,0.0
темнозеленом,1,0.0
цвета,7,0.0
cuisse,1,0.0
nymphe,1,0.0
effrayée,1,0.0
сам,434,0.08
vicomte2,1,0.0
рассказал,56,0.01
ходившем,2,0.0
анекдоте,2,0.0
тайно,12,0.0
ездил,27,0.0
париж,22,0.0
свидания,41,0.01
llе,16,0.0
george,2,0.0
встретился,7,0.0
пользовавшимся,1,0.0
милостями,6,0.0
знаменитой,2,0.0
актрисы,3,0.0
встретившись,7,0.0
наполеон,342,0.06
случайно,17,0.0
упал,35,0.01
обморок,2,0.0
которому,104,0.02
подвержен,1,0.0
власти,90,0.02
воспользовался,9,0.0
